,Unnamed: 0,title,artist,top genre,year,bpm,nrgy,dnce,dB,live,val,dur,acous,spch,pop,image,url
0,1,"Hey, Soul Sister",Train,neo mellow,2010,97,89,67,-4,8,80,217,19,4,83,https://i.scdn.co/image/ab67616d0000b2736ff8bc258e3ebc835ffe14ca,https://p.scdn.co/mp3-preview/518c823cf0f8b862bed0fa45e34cc63db5ea58e4?cid=4730b02bd7f84c22bb7993aaa4620292
1,2,Love The Way You Lie,Eminem,detroit hip hop,2010,87,93,75,-5,52,64,263,24,23,82,https://i.scdn.co/image/ab67616d0000b273c08d5fa5c0f1a834acef5100,https://p.scdn.co/mp3-preview/3824afd426e7ebbba4e107f811f7506ea3416db0?cid=4730b02bd7f84c22bb7993aaa4620292
2,3,TiK ToK,Kesha,dance pop,2010,120,84,76,-3,29,71,200,10,14,80,https://i.scdn.co/image/ab67616d0000b2737a6339d6ddfd579f77559b3c,https://p.scdn.co/mp3-preview/ea95bec21bd6c4979cc91f5d5528b533d879905c?cid=4730b02bd7f84c22bb7993aaa4620292
3,4,Bad Romance,Lady Gaga,dance pop,2010,119,92,70,-4,8,71,295,0,4,79,https://i.scdn.co/image/ab67616d0000b2735c9890c0456a3719eeecd8aa,https://p.scdn.co/mp3-preview/a58b8677ea3858185308224d36808920e587cec5?cid=4730b02bd7f84c22bb7993aaa4620292
4,5,Just the Way You Are,Bruno Mars,pop,2010,109,84,64,-5,9,43,221,2,4,78,https://i.scdn.co/image/ab67616d0000b273f6b55ca93bd33211227b502b,https://p.scdn.co/mp3-preview/6d1a901b10c7dc609d4c8628006b04bc6e672be8?cid=4730b02bd7f84c22bb7993aaa4620292
5,6,Baby,Justin Bieber,canadian pop,2010,65,86,73,-5,11,54,214,4,14,77,https://i.scdn.co/image/ab67616d0000b273629dc9e2e3bc20bbd7d92e4a,https://p.scdn.co/mp3-preview/6f57db4d7d782298f0d2de9097a45f4671cb2fd6?cid=4730b02bd7f84c22bb7993aaa4620292
6,7,Dynamite,Taio Cruz,dance pop,2010,120,78,75,-4,4,82,203,0,9,77,https://i.scdn.co/image/ab67616d0000b27366c3eb32692a0ae487079cf1,https://p.scdn.co/mp3-preview/103e3aa734079b6888207e4000b7f37c65bdcf9d?cid=4730b02bd7f84c22bb7993aaa4620292
7,8,Secrets,OneRepublic,dance pop,2010,148,76,52,-6,12,38,225,7,4,77,https://i.scdn.co/image/ab67616d0000b2734ec868f10b6379bcb83e855a,https://p.scdn.co/mp3-preview/16790c7ce12dfb06e954ac8bba38a1f4b9dfb990?cid=4730b02bd7f84c22bb7993aaa4620292
8,9,Empire State of Mind (Part II) Broken Down,Alicia Keys,hip pop,2010,93,37,48,-8,12,14,216,74,3,76,https://i.scdn.co/image/ab67616d0000b273fe6a98e875958c7d7080584e,https://p.scdn.co/mp3-preview/10fbb8e7dd218c7b4c2b52b86256cd3e8c9de220?cid=4730b02bd7f84c22bb7993aaa4620292
9,10,Only Girl (In The World),Rihanna,barbadian pop,2010,126,72,79,-4,7,61,235,13,4,73,https://i.scdn.co/image/ab67616d0000b27331548865f7c729290b96c794,https://p.scdn.co/mp3-preview/0c753bdb0ab5959c300cd693b27f53427755de6f?cid=4730b02bd7f84c22bb7993aaa4620292
10,11,Club Can't Handle Me (feat. David Guetta),Flo Rida,dance pop,2010,128,87,62,-4,6,47,235,3,3,73,https://i.scdn.co/image/ab67616d0000b273c0ddb38854cde41708d606a1,https://p.scdn.co/mp3-preview/4eb7cf3beaef7d774c99206cbf24b6b2f83fbb52?cid=4730b02bd7f84c22bb7993aaa4620292
11,12,Marry You,Bruno Mars,pop,2010,145,83,62,-5,10,48,230,33,4,73,https://i.scdn.co/image/ab67616d0000b273f6b55ca93bd33211227b502b,https://p.scdn.co/mp3-preview/6747a3674ec0b24ab9067972bb19291c3048a8d2?cid=4730b02bd7f84c22bb7993aaa4620292
